name,description,price,image
Mouse óptico,Mouse ergonómico con sensor óptico,25,mouse.jpg
Teclado mecánico RGB,Teclado con iluminación personalizable,80,teclado.jpg
Monitor LED 24",Pantalla Full HD con alta frecuencia de actualización,180,monitor.jpg
Disco SSD 1TB,Unidad de estado sólido de alto rendimiento,120,ssd.jpg
Memoria RAM 16GB DDR4,Módulo de memoria para mejor rendimiento,70,ram.jpg
Tarjeta gráfica RTX 3060,GPU potente para gaming y diseño gráfico,400,gpu.jpg
Fuente de poder 750W,Fuente de alimentación con certificación 80 Plus Gold,130,fuentepoder.jpg
Cámara Web HD,Cámara con micrófono integrado y soporte ajustable,60,camaraweb.jpg
Audífonos con micrófono,Headset con sonido envolvente y micrófono flexible,50,audifonos.jpg
Router WiFi 6,Dispositivo de conexión con alta velocidad y cobertura,140,router.jpg
